Gene	ScoreGDA
CSF1	0.20
CYP2D6	0.20
PADI4	0.20
SOD1	0.20
HSPD1	0.20
KIR2DS5	0.20
EDIL3	0.20
PDGFC	0.20
ORMDL3	0.20
MYD88	0.20
IGKV2D-29	0.20
KIR3DS1	0.20
KIR3DL2	0.20
KIR2DS1	0.20
KIR2DL1	0.20
LEP	0.20
MIRLET7I	0.20
EP300	0.20
RELN	0.20
RETN	0.20
MIR451A	0.20
MIR29A	0.20
MIR27A	0.20
MIR214	0.20
MIR21	0.20
MIR17	0.20
MIR16-2	0.20
MIR130A	0.20
MIF	0.20
IL4	0.20
IL1RN	0.20
IL17F	0.20
IL18	0.20
IL7R	0.20
IL12A	0.20
IL21	0.20
IL5	0.20
IL13	0.20
IL9	0.20
TNFSF10	0.20
TNFRSF10B	0.20
TF	0.20
PRF1	0.20
PF4	0.20
HGF	0.20
FASLG	0.20
FGB	0.20
NOG	0.20
KITLG	0.20
IGF1	0.20
FAGF2	0.20
HAPLN1	0.20
HMOX1	0.20
PTH	0.20
ICAM2	0.20
INSRR	0.20
DDIT3	0.20
JAK1	0.20
JMY	0.20
GSK3B	0.20
SELL	0.20
MAP1LC3A	0.20
NAMPT	0.20
ORM1	0.20
FOS	0.20
FOXO3	0.20
SSRP2	0.20
SPP1	0.20
PTX3	0.20
SSTR2	0.20
SSRP1	0.20
IRF5	0.20
P2RY1	0.20
MMP8	0.20
NCAM1	0.20
GC	0.20
